fips,series_complete_pop_pct,date
22093,33.6,07/04/2021
42077,53.8,07/04/2021
13045,15.5,07/04/2021
36041,73.8,07/04/2021
25003,45,07/04/2021
42119,44.4,07/04/2021
39151,41.9,07/04/2021
29115,33.4,07/04/2021
46031,20.2,07/04/2021
39119,37.9,07/04/2021
31009,19.8,07/04/2021
34041,50.3,07/04/2021
37155,24.1,07/04/2021
36027,53.2,07/04/2021
49051,34,07/04/2021
48239,0,07/04/2021
47141,36.5,07/04/2021
38085,26.1,07/04/2021
17079,26.3,07/04/2021
02050,50.1,07/04/2021
48273,0,07/04/2021
08085,28.6,07/04/2021
35005,27,07/04/2021
54033,19.7,07/04/2021
36003,32.9,07/04/2021
29079,25.6,07/04/2021
45009,32.8,07/04/2021
42053,58.1,07/04/2021
49037,32.2,07/04/2021
22123,29.2,07/04/2021
39081,38.4,07/04/2021
18009,35.7,07/04/2021
21047,22.7,07/04/2021
48263,0,07/04/2021
21021,45.4,07/04/2021
36013,45.5,07/04/2021
48487,0,07/04/2021
08101,29.8,07/04/2021
13281,6.2,07/04/2021
06007,38.6,07/04/2021
19101,38.5,07/04/2021
13173,6.4,07/04/2021
19095,50.6,07/04/2021
06077,36.9,07/04/2021
49011,38.9,07/04/2021
42105,25.2,07/04/2021
51117,9.9,07/04/2021
72047,54.7,07/04/2021
12037,34.1,07/04/2021
72037,47.3,07/04/2021
13017,5.9,07/04/2021
06073,41.4,07/04/2021
20203,37.4,07/04/2021
29061,22.2,07/04/2021
37025,37.8,07/04/2021
13207,5.8,07/04/2021
12059,20.4,07/04/2021
29055,22.1,07/04/2021
47155,33.7,07/04/2021
47035,36.5,07/04/2021
46033,32.6,07/04/2021
39001,24.9,07/04/2021
47093,44.5,07/04/2021
31057,28.1,07/04/2021
18005,46.5,07/04/2021
13137,11.4,07/04/2021
29171,23.5,07/04/2021
18039,32.6,07/04/2021
38003,46.2,07/04/2021
19107,37.4,07/04/2021
39161,22.3,07/04/2021
48379,0,07/04/2021
42035,33.4,07/04/2021
39111,36.4,07/04/2021
51683,2.4,07/04/2021
20085,48,07/04/2021
35023,35.3,07/04/2021
27123,54.8,07/04/2021
37083,36.2,07/04/2021
51159,7.6,07/04/2021
72005,52.9,07/04/2021
48175,0,07/04/2021
36051,47.7,07/04/2021
36005,42.5,07/04/2021
13257,5.7,07/04/2021
16031,23.5,07/04/2021
47059,33.3,07/04/2021
39005,31.9,07/04/2021
35051,40.3,07/04/2021
31047,29.8,07/04/2021
25005,49.3,07/04/2021
53077,43.4,07/04/2021
55129,52.1,07/04/2021
47005,31.6,07/04/2021
41019,40.5,07/04/2021
17149,28.5,07/04/2021
53045,45.3,07/04/2021
42059,37.2,07/04/2021
48293,0,07/04/2021
47125,38.3,07/04/2021
05079,22.3,07/04/2021
38045,38.8,07/04/2021
29089,31.1,07/04/2021
51187,4,07/04/2021
01015,29.5,07/04/2021
05127,24.9,07/04/2021
06043,0,07/04/2021
40133,35.4,07/04/2021
28001,31.7,07/04/2021
51830,3,07/04/2021
40083,23.7,07/04/2021
72149,68.8,07/04/2021
55001,43.8,07/04/2021
45047,35.7,07/04/2021
13217,10,07/04/2021
40139,29.4,07/04/2021
39089,42.8,07/04/2021
40085,30.1,07/04/2021
38065,19.8,07/04/2021
01051,27.9,07/04/2021
37167,17.5,07/04/2021
48497,0,07/04/2021
12083,40.9,07/04/2021
22053,21.7,07/04/2021
19139,47,07/04/2021
72143,43.2,07/04/2021
29219,30.6,07/04/2021
37075,32.5,07/04/2021
37141,35.6,07/04/2021
39061,48.2,07/04/2021
31175,24,07/04/2021
19071,40.7,07/04/2021
29510,39.1,07/04/2021
24045,41.9,07/04/2021
21121,25.7,07/04/2021
20063,37.7,07/04/2021
37035,39.2,07/04/2021
06069,44.1,07/04/2021
28003,24.1,07/04/2021
23003,52.1,07/04/2021
29035,20.8,07/04/2021
21009,33.1,07/04/2021
28139,25.8,07/04/2021
46083,35,07/04/2021
39091,32.7,07/04/2021
45043,40.5,07/04/2021
48483,0,07/04/2021
55055,44.2,07/04/2021
21115,32.6,07/04/2021
51145,1.5,07/04/2021
47179,43.9,07/04/2021
72093,45.6,07/04/2021
29123,24.9,07/04/2021
12009,45.7,07/04/2021
18003,40.9,07/04/2021
27063,38.2,07/04/2021
23007,50.2,07/04/2021
31005,13.2,07/04/2021
72053,49.7,07/04/2021
27159,38.3,07/04/2021
30071,31.6,07/04/2021
06001,62.3,07/04/2021
29037,35.8,07/04/2021
45029,31,07/04/2021
18019,47.2,07/04/2021
46095,24.2,07/04/2021
55045,51.6,07/04/2021
27003,43.5,07/04/2021
29071,38.5,07/04/2021
45007,29,07/04/2021
48361,0,07/04/2021
51125,21.5,07/04/2021
29021,27,07/04/2021
06005,38,07/04/2021
55081,40.2,07/04/2021
13141,5.8,07/04/2021
13177,8.6,07/04/2021
48107,0,07/04/2021
40059,33.8,07/04/2021
53047,52.7,07/04/2021
18135,33.7,07/04/2021
22001,30.9,07/04/2021
38097,39.8,07/04/2021
